File,Text,Acoustic_Annotation,Semantic_Analysis
Ses04F_script02_2_F046, I'm beginning to think you might be right.  I think this may be the spot after all.  Augie I'm sorry.,hap,negative
Ses03F_impro03_F018," like a loser, I cried.",hap,negative
Ses03M_impro03_F026, Sure?  Who says sure?  You say yes...I don't like--,hap,negative
Ses03M_impro03_F042," You, You are too much, I can't handle it.",hap,negative
Ses03M_script01_3_F019, I'll never forgive you for that.,hap,negative
Ses02F_script03_1_F008, What's so horrible is that one can't stay happy.,hap,negative
Ses02F_script03_1_F009, It's true.  The whole business is a very poor joke.,hap,negative
Ses02F_script03_1_F021," Oh, thank you, dear.  The same applies to you except that if I catch so much as looking at another woman, I'll kill you.",hap,negative
Ses02F_script03_1_F024," Yes, I know you did.  You threw it out of the window into the Grand Canal.  I don't think I'll ever forgive you for that.",hap,negative
Ses02F_script03_1_F026, It burned my comb too and all the towels in the bathroom.,hap,negative
Ses02F_script03_1_F028," The manager came in and found us rolling around on the floor, biting and scratching like panthers.",hap,negative
Ses04M_script03_2_F001," The manager came in and found us rolling about on the floor, biting and scratching like panthers.  Oh, dear.",hap,negative
Ses04M_script03_2_F002," How ridiculous.  How utterly, utterly ridiculous.",hap,negative
Ses04F_script02_1_M000, What time is it?  They're supposed to run around midnight.  This is great isn't it?  Look at this night we've got here.  It couldn't be better.,hap,negative
Ses03F_script01_3_M000," Yeah. I know. It went out of style, didn't it?",hap,negative
Ses03F_script01_3_M014," I'm embarrassing you. I didn't want to tell you it here. I wanted to go somewhere that would be brand-new to each other. It feels wrong here, don't you? This yard and this chair.",hap,negative
Ses03F_script01_3_F021, I don't know if I ever can forgive you for that. Why'd you wait so long? I sat in my room wondering if I was crazy for thinking about you.,hap,negative
Ses02M_impro07_M027," It's college- oh my God it's college, [GARBAGE] so it's like crazy.",hap,negative
Ses03M_impro07_M025," It took them, oh man, it took them like, I mean what it's like April now and any letters that come in April are usually the rejection letters so I was just like...",hap,negative
Ses01F_script01_3_F020," I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",hap,negative
Ses05F_impro08_M030," It was horrible, but you've made it much better, thank you very much. Absolutely",hap,negative
Ses02M_script03_1_F023, I know you did. You threw it out of the window into the Grand Canal; I don't think I'll ever forgive you for that.,hap,negative
Ses02M_script03_1_F025, It burned my comb too and all the towels in the bathroom.,hap,negative
Ses02M_script03_1_F027, The manager came in and found us rolling around on the floor biting and scratching like panthers.,hap,negative
Ses02M_script03_1_F028," Oh it was ridiculous, completely ridiculous.",hap,negative
Ses02M_script01_3_M000," I know, it went out of style, didn't it?",hap,negative
Ses02M_script01_3_F003," No, not sorry.  But, um. But I'm not gonna stay.",hap,negative
Ses05F_script03_1_F031," Oh, ridiculous. utterly ridiculous",hap,negative
Ses05F_script01_3_M000, I know.  It's going out of style isn't it?,hap,negative
Ses05F_script01_3_F003, No.  But I'm not going to stay.,hap,negative
Ses05F_script01_3_F015, I'll never forgive you.  Why did you wait so long?  All this time I've been wondering if I was a fool for thinking of you!,hap,negative
Ses04M_impro04_F014, That's amazing logic that you managed to turn that around and make it my fault.,hap,negative
Ses04F_script01_3_F015, I'll never forgive you.  Why did you wait all these years?  All I've done is sit and wonder if I was crazy for thinking of you.,hap,negative
Ses03F_script03_1_F026, The manager came in and found us rolling on the floor and biting and scratching like panthers. [LAUGHTER],hap,negative
Ses04F_impro06_F008, [LAUGHTER] You're probably right.  He probably would be pissed if we were all sitting around being upset about it. He'd want us to have a party.,hap,negative
Ses02F_script01_3_F016, I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,hap,negative
Ses05M_script02_2_F037," No.  I'm beginning to think you might be right. I think  this might be the spot after all.  Augie, I'm sorry.",hap,negative
Ses01M_script03_1_M019, Flippancy brings out the acid in their darn sweetness and light.,hap,negative
Ses01M_script03_1_F018," How long will it last, this ludicrous, overbearing love of ours?",hap,negative
Ses01M_script03_1_M031," See, you know I don't care what you do.  You could paint yourself green and run naked to the Place Vendome.",hap,negative
Ses01M_script03_1_F038," Utterly, utterly ridiculous.",hap,negative
Ses01M_script02_2_M052, Shh...,hap,negative
Ses01F_script02_1_M036," God, this is great.  Think about this.  I know you are not interested, but just think about this.",hap,negative
Ses05F_impro03_F051," Two artists, though.  We're bound to be poor forever.",hap,negative
Ses05F_impro03_F053, Definitely not for a while,hap,negative
Ses04M_script01_3_F014, I'll never forgive you.  Why did you wait all these years?  All I've done is sit around and wonder if I was crazy for thinking of you.,hap,negative
Ses01F_script03_1_M026," Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best.",hap,negative
Ses01F_script03_1_F022," Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you.",hap,negative
Ses01F_script03_1_F029," The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous.",hap,negative
Ses01M_script01_3_M000," Yeah, that kind of went out of style didn't it?",hap,negative
Ses01M_script01_3_F016, I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,hap,negative
